HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject,,,,,,,,,,
3SD15I2WD2U4W9XCE7CH67S1AB563C,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:37 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:37 PDT 2020,,,3KWTYT08703RFTLG5XBDZ733IR15LE,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:08 PDT 2020,Tue Jul 07 06:32:09 PDT 2020,Fri Jul 10 06:32:09 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-3-4-1074790.nxml,8,"Third, we found evidence for an age-related increase in body fat in PGC-1Œ±‚àí/‚àí mice (females earlier than males), whereas Lin et al. identified a male-specific resistance to diet-induced obesity and insulin resistance.",fat,1042,1045,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3J06WJ78HNK9N8EWZPQV1U0JIOPVVP,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:55 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:55 PDT 2020,,,3L4PIM1GQTG0KFQDLJD6WGAVJOURY6,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:10 PDT 2020,Tue Jul 07 06:32:12 PDT 2020,Fri Jul 10 06:32:12 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Med-2-12-1322285.nxml,6,Both silver- and thioflavin-S-positive plaques could still be found in each of the dox-treated animals.,plaques,822,829,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
31S7M7DAGGQREBYDGQOAD3EWU57LTG,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:58 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:58 PDT 2020,,,3EFE17QCRC5QZZ01Q89N0QKOFU0HSL,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:12 PDT 2020,Tue Jul 07 06:32:15 PDT 2020,Fri Jul 10 06:32:15 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,Genome Biol-4-11-329117.nxml,6,"Data from a number of previous studies also show that different olfactory receptor genes, or even copies of the same olfactory receptor transgene in different genomic locations are expressed in different numbers of cells [14,18,35], but do not address the issue of transcript level per cell.",copies,822,828,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3NRZ1LDP7W6DR8MAEA6ZG8OXKBUPZY,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:43 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:43 PDT 2020,,,36NEMU28XFD5YUIL1AZ1PKV52TVMWE,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:15 PDT 2020,Tue Jul 07 06:32:17 PDT 2020,Fri Jul 10 06:32:17 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-2-8-509301.nxml,2,"The three members of the vertebrate TIF1 family (Œ±, Œ≤, and Œ≥) are large nuclear proteins that each contain an N-terminal RBCC or TRIM domain (Reymond et al. 2001) composed of a RING finger, two B-boxes, and a coiled-coil domain.",proteins,393,401,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3QHITW7OYO9XQCFH2V5PZKNYGM9AQ9,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:35 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:35 PDT 2020,,,30BXRYBRP4XJ6GHAADJOXFN9L7WHW0,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:18 PDT 2020,Tue Jul 07 06:32:20 PDT 2020,Fri Jul 10 06:32:20 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193529.nxml,10,"To confirm these findings, the staining was repeated in kidneys taken from two further mice for each class, wild-type or mutant, with or without dDAVP treatment, with identical results.",findings,1205,1213,Very Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3BAKUKE49HC18PHHJR1WT9408E5R13,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:58 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:58 PDT 2020,,,3AUQQEL7U5TVGRB9MV775L5ESHSV02,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:21 PDT 2020,Tue Jul 07 06:32:24 PDT 2020,Fri Jul 10 06:32:24 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Med-2-12-1322285.nxml,5,Many of the double transgenic mice showed similar circular patterns of swimming near the edge of the tank when tested in the Morris water maze.,patterns,705,713,Very Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3D06DR5225J65XHPA2Y8IB3T6LCAMM,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:33 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:33 PDT 2020,,,3K4J6M3CXET8Z7JWP25EUQEHEOGGAP,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:25 PDT 2020,Tue Jul 07 06:32:26 PDT 2020,Fri Jul 10 06:32:26 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,J Biol-3-4-549712.nxml,1,Additional data file 1 contains: Figure S1 showing the localization of apoptotic cells and macrophages in the subcutis of developing embryos; and Figure S2 showing immunohistochemical staining of the Ptdsr protein in macrophages derived from wild-type and Ptdsr-knockout mice.,staining,184,192,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3CO05SML7V5110WZN8XWF4LQ3MZR00,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:57 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:57 PDT 2020,,,3SEPORI8WNZ8QOE1FUT3FXUNPEAAZ8,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:27 PDT 2020,Tue Jul 07 06:32:28 PDT 2020,Fri Jul 10 06:32:28 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-3-4-1074790.nxml,1,We did not find evidence for glucose intolerance or insulin resistance in the PGC-1Œ±‚àí/‚àí animals on standard chow.,resistance,60,70,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3GONHBMNHVY765PXMUE7Z4U2F6JMZZ,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:32 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:32 PDT 2020,,,3TDXMTX3CBUL8WDOPDO5ZXPBXIII6T,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:29 PDT 2020,Tue Jul 07 06:32:32 PDT 2020,Fri Jul 10 06:32:32 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Med Genet-7-_-1448208.nxml,4,"Moreover, the cost associated with liver transplantation and the availability of donor livers are additional limiting factors for the practicality of treatment of this disease.",transplantation,514,529,Very Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3I6NF2WGIGW97H9M439WXV3AILZG5E,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:43 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:43 PDT 2020,,,3ZOTGHDK5IB0RGMOUL4DKZHPRGESOK,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:32 PDT 2020,Tue Jul 07 06:32:34 PDT 2020,Fri Jul 10 06:32:34 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-3-8-1959384.nxml,1,"TRIP13 was originally discovered to be an interactor with rat thyroid receptor beta (THRB; [54]), but the relationship between THRB and TRIP13 in meiosis is unknown.",receptor,70,78,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
34F34TZU7WZRZMG0UQS1W1SEQ3PJ2K,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:43 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:43 PDT 2020,,,3UOUJI6MTDE302SKKHM9IDQ6OH4XUA,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:34 PDT 2020,Tue Jul 07 06:32:38 PDT 2020,Fri Jul 10 06:32:38 PDT 2020,,,,4,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Genet-6-_-1181811.nxml,3,"SM assisted with the in silico analysis of the quinine taste QTL and the Tas2rs, and with the QTL analysis.",quinine,257,264,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3IKDQS3DQE082TOW91W7WDM0PFDICG,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:33 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:33 PDT 2020,,,34T446B1C0EZHI59VEC2FTHP7AD0C9,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:38 PDT 2020,Tue Jul 07 06:32:40 PDT 2020,Fri Jul 10 06:32:40 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-2-9-1584259.nxml,2,"These mice were mated with a strain carrying Cre recombinase under the control of the human Keratin 14 (K14) promoter, which is active in basal cells of epidermis and other stratified epithelia.",Cre,204,207,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3DWNFENNE3V120VNY4BPPGPCAHLJ4G,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:44 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:44 PDT 2020,,,3O7L7BFSHEPPLB63VV73BLHOEG6IEE,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:40 PDT 2020,Tue Jul 07 06:32:42 PDT 2020,Fri Jul 10 06:32:42 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Med Genet-7-_-1448208.nxml,14,"From the characterization studies completed thus far, the null mutation mouse accurately represents a model of classic MSUD and appears to be a faithful model of the human disease with respect to several biochemical phenotypes [1].",respect,1786,1793,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3M47JKRKCX1QX63IQO7DXO0CQXX684,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:40 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:40 PDT 2020,,,31Z0PCVWUKFULA742ZS1JIRG3AIT7K,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:43 PDT 2020,Tue Jul 07 06:32:44 PDT 2020,Fri Jul 10 06:32:44 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-2-12-529315.nxml,5,"In the chicken embryo, limb ablations or anti-NT-3 antibody injections into limb buds lead to elimination of TrkC-positive neurons and decreased innervation of motor neurons (Oakley et al. 1995, 1997).",motor,1079,1084,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3SBX2M1TKDNIONZ0TUVYMH1YOCDQ4E,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:45 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:45 PDT 2020,,,3CFVK00FWLLNYXLUAGLIRDH3EMCL6A,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:45 PDT 2020,Tue Jul 07 06:32:47 PDT 2020,Fri Jul 10 06:32:47 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Dev Biol-5-_-1208873.nxml,3,"Our results support and refine the hypothesis, indicating that huntingtin is required for proper mesoderm patterning and for normal regional restriction of the expression of a subset of growth and transcription factors.",factors,682,689,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3D4BBDG7ZHWTCQ6DOYPKS7KB6XG3C1,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:34 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:34 PDT 2020,,,3TU5ZICBRD1LT8KVV0QCSDCOUNPQ8Q,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:47 PDT 2020,Tue Jul 07 06:32:49 PDT 2020,Fri Jul 10 06:32:49 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-3-11-1283373.nxml,2,"Of the four AMPAR constituents, GluR-A to D (GluR1 to 4), which form tetrameric channels with different binary subunit combinations, GluR-B is contained in the majority of AMPARs.",constituents,428,440,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3B0MCRZMBRUJD4K4R18XPAMJACNPPD,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:36 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:36 PDT 2020,,,3M1CVSFP605ZCWDASYAQO4IJKBPQAU,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:49 PDT 2020,Tue Jul 07 06:32:51 PDT 2020,Fri Jul 10 06:32:51 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193523.nxml,5,There are at least two possible explanations for these differences.,differences,899,910,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3VMHWJRYHVGCV0X1ZPM97TUIA59FXO,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:39 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:39 PDT 2020,,,3WETL7AQWT8AZPVRZR7D3L9MI5B35Z,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:52 PDT 2020,Tue Jul 07 06:32:53 PDT 2020,Fri Jul 10 06:32:53 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Genet-2-_-48141.nxml,1,"It is becoming increasingly clear that many forms of glaucoma have a genetic component [6,7], and much current research is focused on identifying chromosomal regions and genes that contribute to glaucoma [8-10].",research,111,119,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3T8DUCXY0N6WD9X4RTLK8UN1UBQT9R,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:54 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:54 PDT 2020,,,30IQTZXKAK6NKGG4MA8PT62Z8S10XB,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:32:54 PDT 2020,Tue Jul 07 06:32:57 PDT 2020,Fri Jul 10 06:32:57 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-2-10-509410.nxml,11,"Alternatively, PPARŒ¥ may be activated by a distal upstream signaling component such as a kinase cascade.",cascade,1704,1711,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3OPLMF3EU5NTJYTTJU2Y44845NLNLH,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:44 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:44 PDT 2020,,,3ATTHHXXWAOYRBXKQ0XVZA2VUMHIXN,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:02 PDT 2020,Tue Jul 07 06:33:05 PDT 2020,Fri Jul 10 06:33:05 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-2-10-509410.nxml,5,"Thus, PPARŒ¥ activation, rather than merely an increase of PPARŒ¥ levels, is an essential element for fiber switching and its associated functional manifestations.",element,909,916,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3B623HUYJ4QVK41FX1AGYTW48MU8SS,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:35 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:35 PDT 2020,,,3WJEQKOXA82BVSTT7JKBN3ABCZY1AB,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:06 PDT 2020,Tue Jul 07 06:33:09 PDT 2020,Fri Jul 10 06:33:09 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Dev Biol-6-_-1435744.nxml,2,"This domain is found in a large number of proteins, including Polycomb group (PcG) proteins [18], serine threonine kinases [19], Eph family receptor tyrosine kinases [20], the p73 tumor suppressor [21], the RNA-binding protein Smaug [22], diacylglycerol kinases [23,24], yeast mating type signaling proteins [19,25] and ETS family transcription factors [26,27].",yeast,428,433,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
31JUPBOORN48GR6PDSDFM7I9GSML8R,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:46 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:46 PDT 2020,,,39PAAFCODM0WW080KXVHPW7JPSPTVC,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:10 PDT 2020,Tue Jul 07 06:33:13 PDT 2020,Fri Jul 10 06:33:13 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Ophthalmol-3-_-149350.nxml,3,"Although actin filament formation has been shown to be necessary for differentiation of lens epithelial cells [15], the significance of alpha-crystallin's interaction with actin in differentiation is not known.",filament,213,221,Very Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3VADEH0UHCXGQW0WJICRKFRUXWUPST,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:37 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:37 PDT 2020,,,3HVVDCPGTESD0U35P8I1WVBD79RTYL,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:13 PDT 2020,Tue Jul 07 06:33:17 PDT 2020,Fri Jul 10 06:33:17 PDT 2020,,,,4,99% (388/391),100% (315/315),100% (315/315),biomed,Arthritis Res Ther-9-1-1860061.nxml,2,"During disease development, genes involved in the disease are likely to be differentially regulated.",genes,128,133,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
324N5FAHSXBV7XKK0LCOZLP22QIVK3,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:47 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:47 PDT 2020,,,3OLQQLKKNSPLGMQ9DDS3NMWORVVJER,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:17 PDT 2020,Tue Jul 07 06:33:19 PDT 2020,Fri Jul 10 06:33:19 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Dev Biol-6-_-1382200.nxml,4,"Despite these similarities, the differential expression patterns of Œº- and m-calpain in mammalian tissues suggest they have some isoform specific and distinct functions.",patterns,650,658,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3OEWW2KGQJBS375D7S4N0G04MOOODH,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:55 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:55 PDT 2020,,,3018Q3ZVOIQZOXSA5DZQTUSOGXRRAW,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:20 PDT 2020,Tue Jul 07 06:33:22 PDT 2020,Fri Jul 10 06:33:22 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193523.nxml,3,The coexpression of both rod and cone genes in the same cell could predispose the cell to apoptosis.,rod,308,311,Very Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
39O6Z4JLX2X1RXJRZ4RDPFX4YZXVXS,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:56 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:56 PDT 2020,,,37UEWGM5HT83U9FA9U6XITZLC3M1RJ,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:22 PDT 2020,Tue Jul 07 06:33:25 PDT 2020,Fri Jul 10 06:33:25 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Neurosci-6-_-1142324.nxml,5,"For example, ADAM17 (TACE) has been shown to cleave several substrates, including tumour necrosis factor alpha[3,4], heparin-binding epidermal growth factor-like growth factor [6,7] and transforming growth factor alpha [8].",tumour,583,589,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
33EEIIWHK77HI0IFDQWLV71B1WAQVQ,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:56 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:56 PDT 2020,,,34PGFRQONOBFXMC0YDM99S3OYZ0WJK,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:25 PDT 2020,Tue Jul 07 06:33:27 PDT 2020,Fri Jul 10 06:33:27 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,Arthritis Res Ther-8-2-1526604.nxml,5,"Analyses of CIA in crosses of the same backgrounds, however, did not identify a linkage to this locus, suggesting that the polymorphism underlying Cia40 differs from the genes associated with diabetes [18].",backgrounds,707,718,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3K1H3NEY7LZ4BUOFJ9RFV7R2V2XDGJ,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:39 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:39 PDT 2020,,,38BQUHLA9W0XTL9JAO8R8QIJZRWOM4,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:27 PDT 2020,Tue Jul 07 06:33:30 PDT 2020,Fri Jul 10 06:33:30 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Genomics-7-_-1482699.nxml,8,The HG9 strain represents a major epistasis-based obese mouse model and promises to aid in the understanding of obesity and specifically the modulation of adipose tissue deposition by Gh.,adipose,585,592,Very Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
3LN3BXKGC0V3K0O604W5NVGN2I3GWV,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:55 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:55 PDT 2020,,,39DD6S19JPBBG1VDVZVPBGKEAT8ZES,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:33:31 PDT 2020,Tue Jul 07 06:33:32 PDT 2020,Fri Jul 10 06:33:32 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Ophthalmol-3-_-149350.nxml,4,"In the lens, alpha-crystallin also forms a complex with type III intermediate filament proteins and the lens-specific beaded filament proteins CP49 and CP115, which may be critical for proper filament assembly [16].",type,494,498,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,,,,
